,Ligand_name,Pose_count
0,AA2AR_4102,0
1,AA2AR_3542,0
2,AA2AR_4372,0
3,AA2AR_530,0
4,AA2AR_3825,0
5,AA2AR_1601,0
6,AA2AR_1159,0
7,AA2AR_6604,0
8,AA2AR_1982,0
9,AA2AR_1596,0
10,AA2AR_6809,0
11,AA2AR_1988,0
12,AA2AR_4898,0
13,AA2AR_1705,1
14,AA2AR_4662,0
15,AA2AR_5361,0
16,AA2AR_3350,0
17,AA2AR_2554,0
18,AA2AR_3372,0
19,AA2AR_6943,0
20,AA2AR_6245,0
21,AA2AR_1247,0
22,AA2AR_5081,0
23,AA2AR_5400,0
24,AA2AR_5740,0
25,AA2AR_6271,0
26,AA2AR_4222,0
27,AA2AR_2585,0
28,AA2AR_2156,0
29,AA2AR_7142,0
30,AA2AR_3516,0
31,AA2AR_182,0
32,AA2AR_1760,0
33,AA2AR_7125,0
34,AA2AR_6421,0
35,AA2AR_5262,0
36,AA2AR_6822,0
37,AA2AR_1052,0
38,AA2AR_4109,0
39,AA2AR_5322,0
40,AA2AR_3432,0
41,AA2AR_7090,0
42,AA2AR_28,0
43,AA2AR_2009,0
44,AA2AR_7207,0
45,AA2AR_7197,0
46,AA2AR_6057,0
47,AA2AR_2196,0
48,AA2AR_815,1
49,AA2AR_3831,0
50,AA2AR_2109,0
51,AA2AR_4242,0
52,AA2AR_4622,0
53,AA2AR_5218,0
54,AA2AR_2726,0
55,AA2AR_5940,0
56,AA2AR_2952,0
57,AA2AR_1255,0
58,AA2AR_2153,0
59,AA2AR_480,0
60,AA2AR_7031,0
61,AA2AR_3238,0
62,AA2AR_3670,0
63,AA2AR_3100,0
64,AA2AR_4410,0
65,AA2AR_1418,1
66,AA2AR_6770,0
67,AA2AR_562,0
68,AA2AR_2999,1
69,AA2AR_2848,0
70,AA2AR_6807,0
71,AA2AR_385,0
72,AA2AR_118,0
73,AA2AR_2541,0
74,AA2AR_301,0
75,AA2AR_2352,0
76,AA2AR_1531,0
77,AA2AR_998,0
78,AA2AR_1558,0
79,AA2AR_4688,0
80,AA2AR_1645,0
81,AA2AR_2814,0
82,AA2AR_5636,0
83,AA2AR_6553,0
84,AA2AR_6883,0
85,AA2AR_4127,0
86,AA2AR_6258,0
87,AA2AR_7224,0
88,AA2AR_2891,0
89,AA2AR_5143,0
90,AA2AR_6941,0
91,AA2AR_6966,0
92,AA2AR_4968,0
93,AA2AR_6670,0
94,AA2AR_1722,0
95,AA2AR_5965,0
96,AA2AR_4566,0
97,AA2AR_3479,0
98,AA2AR_929,0
99,AA2AR_6528,0
100,AA2AR_5974,0
101,AA2AR_3093,0
102,AA2AR_3718,0
103,AA2AR_2631,0
104,AA2AR_6996,0
105,AA2AR_461,0
106,AA2AR_3895,0
107,AA2AR_5412,0
108,AA2AR_3743,0
109,AA2AR_3120,0
110,AA2AR_4841,0
111,AA2AR_2307,0
112,AA2AR_553,0
113,AA2AR_2665,0
114,AA2AR_3017,0
115,AA2AR_330,0
116,AA2AR_5856,0
117,AA2AR_5378,0
118,AA2AR_6374,0
119,AA2AR_245,0
120,AA2AR_735,0
121,AA2AR_4237,1
122,AA2AR_1757,0
123,AA2AR_4594,0
124,AA2AR_4596,0
125,AA2AR_6396,0
126,AA2AR_5951,0
127,AA2AR_4516,0
128,AA2AR_4653,0
129,AA2AR_1326,0
130,AA2AR_7083,0
131,AA2AR_2796,1
132,AA2AR_6785,0
133,AA2AR_4128,0
134,AA2AR_5893,0
135,AA2AR_6017,1
136,AA2AR_3161,0
137,AA2AR_6290,0
138,AA2AR_1295,1
139,AA2AR_3174,0
140,AA2AR_3692,0
141,AA2AR_607,0
142,AA2AR_5770,0
143,AA2AR_2366,1
144,AA2AR_1690,0
145,AA2AR_202,0
146,AA2AR_1985,0
147,AA2AR_1128,1
148,AA2AR_5906,0
149,AA2AR_6942,0
150,AA2AR_6846,0
151,AA2AR_1165,0
152,AA2AR_4265,0
153,AA2AR_4906,0
154,AA2AR_2161,0
155,AA2AR_5779,0
156,AA2AR_6487,0
157,AA2AR_6282,1
158,AA2AR_2489,0
159,AA2AR_5399,0
160,AA2AR_1625,0
161,AA2AR_3415,0
162,AA2AR_576,0
163,AA2AR_2840,0
164,AA2AR_1131,0
165,AA2AR_4702,0
166,AA2AR_6051,0
167,AA2AR_5611,0
168,AA2AR_2409,0
169,AA2AR_277,0
170,AA2AR_3385,1
171,AA2AR_4165,0
172,AA2AR_2253,1
173,AA2AR_6320,0
174,AA2AR_6972,0
175,AA2AR_446,0
176,AA2AR_548,0
177,AA2AR_4414,0
178,AA2AR_4887,0
179,AA2AR_2748,0
180,AA2AR_5405,0
181,AA2AR_4273,0
182,AA2AR_1613,0
183,AA2AR_4094,0
184,AA2AR_3579,0
185,AA2AR_5092,0
186,AA2AR_2198,0
187,AA2AR_1701,0
188,AA2AR_4005,0
189,AA2AR_6659,0
190,AA2AR_1371,0
191,AA2AR_6857,0
192,AA2AR_6613,0
193,AA2AR_4537,0
194,AA2AR_3813,0
195,AA2AR_5446,0
196,AA2AR_4820,0
197,AA2AR_5164,0
198,AA2AR_138,0
199,AA2AR_5088,0
200,AA2AR_5203,0
201,AA2AR_5852,0
202,AA2AR_3707,0
203,AA2AR_5149,0
204,AA2AR_4607,0
205,AA2AR_1861,0
206,AA2AR_6790,0
207,AA2AR_60,0
208,AA2AR_2768,0
209,AA2AR_5872,0
210,AA2AR_1217,0
211,AA2AR_1651,0
212,AA2AR_2188,1
213,AA2AR_4375,0
214,AA2AR_2644,0
215,AA2AR_874,1
216,AA2AR_5257,2
217,AA2AR_3763,0
218,AA2AR_5085,0
219,AA2AR_1615,0
220,AA2AR_6605,0
221,AA2AR_1204,0
222,AA2AR_1194,0
223,AA2AR_4667,0
224,AA2AR_1556,0
225,AA2AR_6100,0
226,AA2AR_6903,0
227,AA2AR_2363,0
228,AA2AR_1398,0
229,AA2AR_4136,0
230,AA2AR_2736,0
231,AA2AR_5773,0
232,AA2AR_2052,0
233,AA2AR_4244,0
234,AA2AR_4058,0
235,AA2AR_1748,0
236,AA2AR_98,0
237,AA2AR_0,0
238,AA2AR_4826,0
239,AA2AR_821,0
240,AA2AR_5820,0
241,AA2AR_585,0
242,AA2AR_5739,0
243,AA2AR_3667,0
244,AA2AR_2274,0
245,AA2AR_1179,0
246,AA2AR_3427,0
247,AA2AR_2689,0
248,AA2AR_3365,0
249,AA2AR_1872,0
250,AA2AR_4217,0
251,AA2AR_2120,0
252,AA2AR_3771,1
253,AA2AR_6130,0
254,AA2AR_379,0
255,AA2AR_2987,0
256,AA2AR_1415,1
257,AA2AR_6674,0
258,AA2AR_604,0
259,AA2AR_7060,0
260,AA2AR_6818,0
261,AA2AR_5729,0
262,AA2AR_27,0
263,AA2AR_370,0
264,AA2AR_5445,0
265,AA2AR_3602,0
266,AA2AR_2258,0
267,AA2AR_3716,0
268,AA2AR_554,1
269,AA2AR_6408,0
270,AA2AR_3153,0
271,AA2AR_5415,0
272,AA2AR_6814,0
273,AA2AR_3036,0
274,AA2AR_4991,0
275,AA2AR_4104,0
276,AA2AR_2263,0
277,AA2AR_4899,0
278,AA2AR_6429,0
279,AA2AR_4199,0
280,AA2AR_2139,0
281,AA2AR_921,0
282,AA2AR_4483,0
283,AA2AR_4753,0
284,AA2AR_1946,1
285,AA2AR_807,0
286,AA2AR_4628,0
287,AA2AR_1721,0
288,AA2AR_3059,0
289,AA2AR_591,0
290,AA2AR_410,0
291,AA2AR_838,0
292,AA2AR_6647,0
293,AA2AR_4760,0
294,AA2AR_6140,0
295,AA2AR_6832,0
296,AA2AR_6775,0
297,AA2AR_3263,0
298,AA2AR_6196,0
299,AA2AR_6034,0
300,AA2AR_4816,0
301,AA2AR_4292,0
302,AA2AR_7148,0
303,AA2AR_4177,0
304,AA2AR_2953,0
305,AA2AR_5319,0
306,AA2AR_5840,0
307,AA2AR_232,1
308,AA2AR_792,0
309,AA2AR_6927,0
310,AA2AR_4470,0
311,AA2AR_6364,0
312,AA2AR_4727,1
313,AA2AR_347,0
314,AA2AR_6447,0
315,AA2AR_4274,0
316,AA2AR_5799,1
317,AA2AR_1362,0
318,AA2AR_1336,0
319,AA2AR_5585,0
320,AA2AR_4451,0
321,AA2AR_5476,0
322,AA2AR_1014,0
323,AA2AR_3870,0
324,AA2AR_234,0
325,AA2AR_1512,0
326,AA2AR_5438,0
327,AA2AR_1860,0
328,AA2AR_1337,0
329,AA2AR_1649,0
330,AA2AR_3913,0
331,AA2AR_3844,1
332,AA2AR_395,0
333,AA2AR_3510,0
334,AA2AR_5140,0
335,AA2AR_364,0
336,AA2AR_3023,0
337,AA2AR_845,0
338,AA2AR_1044,0
339,AA2AR_5716,0
340,AA2AR_1794,0
341,AA2AR_1823,0
