,Ligand_name,Pose_count
0,CHEMBL83617,1
1,CHEMBL3423332,0
2,CHEMBL4744007,0
3,CHEMBL148058,0
4,CHEMBL2059318,0
5,CHEMBL4777080,0
6,CHEMBL219182,0
7,CHEMBL4473519,0
8,CHEMBL3588996,1
9,CHEMBL4091231,0
10,CHEMBL59960,1
11,CHEMBL2059312,0
12,CHEMBL178055,0
13,CHEMBL4759492,0
14,CHEMBL103983,1
15,CHEMBL4744824,0
16,CHEMBL569476,1
17,CHEMBL62919,0
18,CHEMBL209447,0
19,CHEMBL2059315,0
20,CHEMBL3774996,1
21,CHEMBL4754193,0
22,CHEMBL93,1
23,CHEMBL297302,0
24,CHEMBL336771,0
25,CHEMBL60889,1
26,CHEMBL2059313,0
27,CHEMBL2059322,0
28,CHEMBL3775294,1
29,CHEMBL2059311,0
30,CHEMBL2059305,0
31,CHEMBL252818,1
32,CHEMBL411663,1
33,CHEMBL4795995,0
34,CHEMBL2104700,0
35,CHEMBL422618,0
36,CHEMBL210230,0
37,CHEMBL4077430,0
38,CHEMBL421902,0
39,CHEMBL238760,1
40,CHEMBL3423330,0
41,CHEMBL3423339,0
42,CHEMBL141035,0
43,CHEMBL261019,0
44,CHEMBL376092,0
45,CHEMBL898,0
46,CHEMBL335844,0
47,CHEMBL478688,0
48,CHEMBL4798638,1
49,CHEMBL4094926,1
50,CHEMBL458220,0
51,CHEMBL252816,1
52,CHEMBL59642,1
53,CHEMBL5199358,0
54,CHEMBL4571321,1
55,CHEMBL54,0
56,CHEMBL360394,1
57,CHEMBL197870,1
58,CHEMBL2029923,0
59,CHEMBL3104522,3
60,CHEMBL3774591,1
61,CHEMBL3133779,0
62,CHEMBL368816,0
63,CHEMBL251834,1
64,CHEMBL4176950,2
65,CHEMBL127257,0
66,CHEMBL3818710,1
67,CHEMBL277790,3
68,CHEMBL65280,0
69,CHEMBL4287320,3
70,CHEMBL296506,0
71,CHEMBL1108,0
72,CHEMBL4098594,1
73,CHEMBL4864074,0
74,CHEMBL549759,0
75,CHEMBL29182,0
76,CHEMBL302186,0
77,CHEMBL1257335,3
78,CHEMBL3758330,0
79,CHEMBL339098,0
80,CHEMBL5171439,0
81,CHEMBL3771222,2
82,CHEMBL4517898,1
83,CHEMBL2377445,1
84,CHEMBL4081424,0
85,CHEMBL3589651,1
86,CHEMBL4474618,0
87,CHEMBL197614,1
88,CHEMBL4583082,0
89,CHEMBL4096422,0
90,CHEMBL201577,0
91,CHEMBL48819,0
92,CHEMBL3589650,1
93,CHEMBL1092921,0
94,CHEMBL96799,0
95,CHEMBL1765629,1
96,CHEMBL1765634,0
97,CHEMBL3588989,1
98,CHEMBL3358509,0
99,CHEMBL183160,1
100,CHEMBL4590085,0
101,CHEMBL3265063,1
102,CHEMBL219261,0
103,CHEMBL3133870,0
104,CHEMBL4741279,0
105,CHEMBL4483554,1
106,CHEMBL427555,0
107,CHEMBL219916,0
108,CHEMBL29649,0
109,CHEMBL4467736,1
110,CHEMBL80722,0
111,CHEMBL357807,0
112,CHEMBL552366,0
113,CHEMBL4793515,0
114,CHEMBL3286579,1
115,CHEMBL3959209,0
116,CHEMBL566379,1
117,CHEMBL4467486,3
118,CHEMBL416508,1
119,CHEMBL327176,0
120,CHEMBL468,1
121,CHEMBL426123,0
