SMILES,Name
COc1cc(O)ccc1-c1cn2c(=O)n(-c3ccccc3)nc2c(N)n1,AA2AR_0
Nc1ccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)cc1,AA2AR_1
Nc1ccc(-n2nc3c(N)nc(-c4ccccc4)cn3c2=O)cc1,AA2AR_2
Nc1nc2cnn(CCc3ccccc3)c2c2nc(-c3ccco3)nn12,AA2AR_3
COc1ccc(-n2nc3c(N)nc(-c4ccccc4)cn3c2=O)cc1,AA2AR_4
Nc1nc(-c2cc(O)c(O)c(O)c2)cn2c(=O)n(-c3ccccc3)nc12,AA2AR_5
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,AA2AR_6
Nc1nc(-c2ccc(OCCNCCc3ccc(S(N)(=O)=O)cc3)cc2)cn2c(=O)n(-c3ccccc3)nc12,AA2AR_7
Nc1nc(-c2cccc(O)c2)nc2sc(-c3ccco3)nc12,AA2AR_8
CC(=O)Nc1cccc(-c2cn3c(nc4ccccc43)c(N)n2)c1,AA2AR_9
N#Cc1ccc(-c2cn3c(nc4ccccc43)c(N)n2)cc1,AA2AR_10
N#Cc1cccc(-c2nc(N)nc3c2C(=O)c2cccc(CN4CCOCC4)c2-3)c1,AA2AR_11
Nc1nc(-c2ccc(O)c(O)c2)cn2c(=O)n(-c3ccccc3)nc12,AA2AR_12
CCn1c(=O)c2c(nc(Cc3cccs3)n2C)n(Cc2ccccc2)c1=O,AA2AR_13
Nc1nc(-c2ccco2)c2c(n1)-c1ccccc1C2=O,AA2AR_14
Nc1nc(-c2cccc(C(F)(F)F)c2)nc2sc(Cc3ccccc3)cc12,AA2AR_15
Cc1cccc(-n2nc3c(N)nc4ccccc4n3c2=O)c1,AA2AR_16
Nc1nc(-c2ccccc2)cc2nc(-c3ccco3)nn12,AA2AR_17
NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,AA2AR_18
N#Cc1c(-c2ccc(F)cc2)nc(N)nc1-c1ccco1,AA2AR_19
