SMILES,Name
CN(C)C(=O)CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,AKT1_0
CN1CCN(C(C(=O)N2CCN(c3ncnc4[nH]cc(Br)c34)CC2)c2ccc(Cl)cc2)CC1,AKT1_1
Cc1cc(C(=O)NC(CN)c2ccccc2)sc1-c1ccnc2[nH]ccc12,AKT1_2
N[C@]1(CNC(=O)c2ccc(F)cc2)CCN(c2ncnc3[nH]cc(Cl)c23)C1,AKT1_3
CC(C)c1ccc(C[C@@H](CN)C(=O)N2CCN(c3ncnc4[nH]ccc34)CC2)cc1,AKT1_4
N[C@@H]1CCN(c2ncnc3[nH]cc(Cl)c23)C1,AKT1_5
Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccccc4C(F)(F)F)s3)cc12,AKT1_6
NC1(C(=O)NC(CCS(N)(=O)=O)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,AKT1_7
Clc1c[nH]c2ncnc(N3CCC4(CCNCC4)C3)c12,AKT1_8
NC1CCCN(c2ncnc3[nH]cc(Cl)c23)C1,AKT1_9
CC1Cc2c(O)cccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,AKT1_10
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,AKT1_11
NC[C@@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3[nH]ccc23)CC1,AKT1_12
N#Cc1c[nH]c2ncnc(N3CC[C@](N)(CNC(=O)c4ccc(Cl)cc4)C3)c12,AKT1_13
Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(Cl)cc4)s3)cc12,AKT1_14
N[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ccnc3ccnn23)CC1,AKT1_15
NCCCC(NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1)c1ccccc1,AKT1_16
Cc1noc(C)c1S(=O)(=O)NC[C@@H](O)CN1CCC[C@@]2(CCN(c3ncnc(N)c3C3CC3)C2)C1,AKT1_17
Cc1c[nH]c2ncnc(N3CC[C@@H](NS(C)(=O)=O)C3)c12,AKT1_18
NC1(C(=O)NC(CS(N)(=O)=O)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,AKT1_19
O=C(c1cc(-c2ccc3[nH]ncc3c2)on1)N1CCCCC1,AKT1_20
NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2nc[nH]c3nccc2-3)CC1,AKT1_21
NC[C@H](Cc1ccncc1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1,AKT1_22
O=C(O)c1ccccc1Nc1ccnc(Nc2ccc3[nH]ncc3c2)n1,AKT1_23
O=C(NC(CO)Cc1ccccc1)c1ccc(-c2ccncc2)cc1F,AKT1_24
N[C@H](Cc1ccc(F)c(F)c1)C(=O)N1CCN(c2ncnc3ccccc23)CC1,AKT1_25
C[C@@H]1OCc2ncnc(N3CCN(C(=O)[C@H](N)Cc4ccc(Cl)cc4)CC3)c21,AKT1_26
N[C@H](CNc1nnc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(Cl)cc1,AKT1_27
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](CNCC(F)(F)F)c4ccc(Cl)cc4)CC3)c21,AKT1_28
CC(C)C(C(=O)Nc1ccc(F)cc1)c1nc(N2CCOCC2)cc(=O)[nH]1,AKT1_29
Nc1ncnc(N2CCC(c3nc(-c4cccc(Cl)c4)cn3CCN3CCCC3)CC2)c1C1CCC1,AKT1_30
NCC(C(=O)Nc1cc(Br)c(-c2ccnc3[nH]ccc23)s1)c1ccccc1,AKT1_31
Cc1noc(-c2cc(NCCN3CCCC3)c(C)c(N3CCN(c4ncnc5[nH]nc(Br)c45)CC3)c2)n1,AKT1_32
N[C@H](COc1cncc(-c2cc3cn[nH]c3cn2)c1)Cc1c[nH]c2ccccc12,AKT1_33
O=C(NC(CO)Cc1ccccc1)c1ccc(-c2ccncc2)cc1,AKT1_34
Cc1c[nH]c2ncnc(N3CCN(C(=O)[C@H](CN)Cc4ccc(Cl)cc4)CC3)c12,AKT1_35
NCCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,AKT1_36
O=C1NCCc2[nH]c(-c3ccnc(-c4cnc5ccccc5c4)c3)cc21,AKT1_37
O=C1NCCc2[nH]c(-c3ccnc(-c4ccccc4F)c3)cc21,AKT1_38
NC(=O)c1ccc(NC2CNCCC2c2cccc(C(F)(F)F)c2)c2cncnc12,AKT1_39
COc1cc(O)c2c(c1)-c1cc(O)c(O)cc1COC2=O,AKT1_40
CCc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12,AKT1_41
Cc1c(O)c(O)cc2oc3cc(O)cc(O)c3c(=O)c12,AKT1_42
O=c1[nH]cnc2c1oc1ccc(Cl)cc12,AKT1_43
Cc1nn(C)c2sc3c(=O)[nH]cnc3c12,AKT1_44
O=C1NCCc2[nH]c(-c3ccncc3)cc21,AKT1_45
CC(=O)Nc1c(C(N)=O)sc2[nH]nc(C)c12,AKT1_46
Cn1ncc(Cl)c1-c1cc(C(=O)N[C@@H]2CN[C@H](CC(=O)NCC(O)CO)C[C@H]2c2ccc(Cl)c(Cl)c2)oc1Cl,AKT1_47
CS(=O)(=O)Nc1ccc(-c2ccc3[nH]nc(N)c3c2)cc1,AKT1_48
N[C@H](COc1cncc(-c2ccc3cnc(-c4ccco4)cc3c2)c1)Cc1c[nH]c2ccccc12,AKT1_49
N[C@H](CNC(=O)c1ccc2cnccc2c1)Cc1ccc(C(F)(F)F)cc1,AKT1_50
Nc1n[nH]c2cc(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)ccc12,AKT1_51
NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,AKT1_52
O=C(c1cc(-c2ccc3[nH]ncc3c2)on1)N1CCCC(O)C1,AKT1_53
NCC(NC(=O)c1ccc(-c2ccncc2)cc1)c1ccccc1,AKT1_54
CCOC(=O)c1ccc2[nH]c3c(c2c1)CCNC3=O,AKT1_55
Cc1c[nH]c2ncnc(N3CC[C@](N)(CNC(=O)c4ccc(Cl)cc4)C3)c12,AKT1_56
NC(=O)c1sc2c([N+](=O)[O-])cc(SC(F)(F)F)cc2[n+]1[O-],AKT1_57
O=C(NCc1ccc(Br)cc1)Nc1ccc2[nH]ncc2c1,AKT1_58
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c(F)cccc4F)c3)cc12,AKT1_59
CCc1c[nH]c2ncnc(N3CC[C@](N)(CNC(=O)c4ccc(F)cc4F)C3)c12,AKT1_60
Cc1n[nH]c2cnc(-c3cncc(OC[C@@H](N)Cc4cccc5c4OC(F)(F)O5)c3)cc12,AKT1_61
c1ccc2c(c1)nnn2Cc1cn(-c2ccc3[nH]ncc3c2)nn1,AKT1_62
Cc1cc(O)cc2oc(=O)c3c(O)cc(O)cc3c12,AKT1_63
N[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ccnc3ccccc23)CC1,AKT1_64
O=C1Nc2ccc(N[C@H](COc3cncc(-c4ccc5c(c4)C(F)(F)C(=O)N5)c3)Cc3c[nH]c4ccccc34)cc2C1(F)F,AKT1_65
CCS(=O)(=O)Nc1ccc(-c2ccc3[nH]nc(N)c3c2)cc1,AKT1_66
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cnc5ccccc5c4)c3)cc12,AKT1_67
CN(C)C[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3[nH]ccc23)CC1,AKT1_68
CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CNC(=O)c5cccc(F)c5)cc4)c3n2)c1,AKT1_69
Cc1cc(O)cc2oc3cc(O)cc(O)c3c(=O)c12,AKT1_70
c1ccc(-c2cc(-c3nn[nH]n3)cnc2-c2ccc(CN3CCC(n4cnc5ccccc54)CC3)cc2)cc1,AKT1_71
CC1=NN(c2ccc(C(=O)O)cc2)C(=O)C1=Cc1c(C)c(C#N)c2nc3ccccc3n2c1O,AKT1_72
Oc1ccc(Nc2ncnc3scc(Cl)c23)cc1,AKT1_73
COc1cccc(C(C)NC(=O)c2ccc(-c3ccncn3)cc2)c1,AKT1_74
O=C(Nc1cccc(C(F)(F)F)n1)Nc1ccnc2c(F)cccc12,AKT1_75
c1ccc(-c2nnc[nH]2)c(Nc2ncnc3[nH]ccc23)c1,AKT1_76
COc1cc(C=C2SC(=S)NC2=O)ccc1O,AKT1_77
C[C@H]1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)c(F)c(=O)n1C,AKT1_78
Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(Cl)cc4Cl)s3)cc12,AKT1_79
CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,AKT1_80
COc1cccc(C(CN)NC(=O)c2ccc(-c3ccncc3)cc2)c1,AKT1_81
Cc1nc(N)nc2c1cc(-c1cnc3ccccc3c1)c(=O)n2[C@H]1CC[C@H](OCC(N)=O)CC1,AKT1_82
O=C(N[C@@H](c1ccc(Cl)c(Cl)c1)C1CCN(Cc2ccc(C(F)(F)F)cc2)CC1)c1ccc2cnccc2c1,AKT1_83
CNc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2C[C@@H](C(=O)NC3CCCCC3)CC[C@H]2C)n1,AKT1_84
c1ccc(CNc2nc3ccc(-c4ccncc4)cc3s2)cc1,AKT1_85
COc1c(F)ccc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)c1F,AKT1_86
O=C(Nc1ccc(-c2ccncc2)cc1)C1COc2ccccc2O1,AKT1_87
Oc1ccc(Nc2[nH]nc(-c3ccc(O)cc3)c2-c2ccc(O)cc2)cc1,AKT1_88
COCc1nnn(-c2nonc2N)c1C(=O)NN=C(C)c1ccc(O)cc1O,AKT1_89
Cn1ncc(Cl)c1-c1cc(F)c(C(=O)N[C@@H]2CNCC[C@H]2c2ccc(F)c(F)c2)cc1F,AKT1_90
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cccc2sccc12,AKT1_91
C[C@@H]1SCc2ncnc(N3CCN(C(=O)C(Cc4ccc(Cl)cc4)C4(N)CC4)CC3)c21,AKT1_92
O=C(Nc1ccc(-c2c[nH]cn2)cc1)C1COc2ccccc2O1,AKT1_93
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2c(-c3ccccc3F)cccc21,AKT1_94
COCCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,AKT1_95
O=C(N[C@H](c1ccc(Cl)c(Cl)c1)C1CNC1)c1ccc2cnccc2c1,AKT1_96
O=C1C(Nc2ccccc2F)=C(Cl)C(=O)c2[nH]ncc21,AKT1_97
O=c1nc(-c2ccc3[nH]ncc3c2)cc(-c2ccccc2)[nH]1,AKT1_98
CC1(C#N)CN(c2cnc(C(=O)Nc3csc(-c4nncn4C4CC4)n3)cc2-n2cnc(C3CC3)c2)C1,AKT1_99
Cc1n[nH]c2sc(C(=O)NCCc3ccc(Cl)cc3)cc12,AKT1_100
N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1ccccc1,AKT1_101
O=C(Nc1ccc(F)cc1)C(F)(F)c1nc(N2CCOCC2)cc(=O)[nH]1,AKT1_102
Cc1ccc(C[C@@H](N)C(=O)N2CCN(c3ncnc4ccccc34)CC2)cc1,AKT1_103
COc1cccc(C(C)NC(=O)c2ccc(-c3ccncc3C)cc2)c1,AKT1_104
